ContractMonth,ContractID,ContractDate,DeliveryData,SalesUnitName,ProductName,ContractQuantity,ContractRemaining,ShippedQuantity,ShipName,LoadingAddress,BoardingData,SalePrice,PurchaseUnitName,PurchasePrice,SalesUnitID,PurchaseUnitID,ProductID,TransactionID
1,30ef4db7,2024-12-30,2024-01-30,长九-中化石油,0号车用柴油（VI),7000,0.0,6353.478,长祺1,自提,2024-01-31,6870,山东天弘,6750,1,8,1,1
1,30ef4db7,2024-12-30,2024-01-30,长九-中化石油,0号车用柴油（VI),7000,0.0,590.034,日油6,自提,2024-02-21,6870,山东天弘,6750,1,8,1,2
1,063ae9f9,2024-01-06,2024-02-28,长九-中化石油,0号车用柴油（VI),7000,7000.0,6932.713,康发117,自提,2024-03-04,7150,山东天弘,6950,1,8,1,3
1,063ae9f9,2024-01-06,2024-01-31,长九-中化石油,92#车用汽油（VIB),7000,0.0,6997.154,百通21,自提,2024-01-30,7580,山东天弘,7350,1,8,2,4
1,09383953,2024-01-09,2024-03-10,长九-中化泉州,0号车用柴油（VI),7000,7000.0,6979.868,宏致77,自提,2024-03-09,7400,山东天弘,7150,2,8,1,5
1,290ebbb0,2024-01-29,2024-02-17,长九-中化石油,95#车用汽油（VIB),7000,7000.0,6966.33,华骏油369,自提,2024-02-20,8530,浙江亿禄发,8390,1,9,3,6
2,01bec8f5,2024-02-01,2024-03-02,长九-中化石油,95#车用汽油（VIB),7000,7000.0,6979.005,和联油19,东营自提,2024-03-02,8380,浙江亿禄发,8290,1,9,3,7
2,01919b77,2024-02-01,2024-03-02,长九-中化石油,95#车用汽油（VIB),7000,7000.0,6979.005,和联油19,东营自提,2024-03-02,8380,浙江旭泽,8290,1,10,3,8
2,1722802f,2024-02-17,2024-03-22,长九-中石化华南,95#车用汽油（VIB),7000,7000.0,7002.221,东方油10,东营自提,2024-03-24,8330,山东天弘,7850,3,8,3,9
2,183b8b7a,2024-02-18,2024-03-10,长九-中石化华南,95#车用汽油（VIB),7000,7000.0,6720.411,信航991,东营自提,2024-03-12,8400,北瀛,8390,3,11,3,10
2,20729b9c,2024-02-20,2024-03-06,长九-中化石油,95#车用汽油（VIB),7000,7000.0,6970.631,长祺1,东营自提,2024-03-07,8450,康泽,8370,1,12,3,11
3,210865f5,2024-03-21,2024-04-09,长九-中化石油,92#车用汽油（VIB),6000,6000.0,5899.005,欧洋吉祥,东营自提,2024-04-17,8030,联泽,7960,1,13,2,12
4,1978a675,2024-04-19,2024-05-10,长九-中石化华北,92#车用汽油（VIB),7000,7000.0,7461.456,沪油12,东营船舶自提,2024-05-10,8500,山东天弘,8390,4,8,2,13
4,1978a675,2024-04-19,2024-05-10,长九-中石化华北,92#车用汽油（VIB),7000,7000.0,7461.456,沪油12,东营船舶自提,2024-05-10,8500,山东天弘,8320,4,8,2,14
4,1978a675,2024-04-19,2024-05-15,长九-中石化华北,0号车用柴油(VIA),7000,7000.0,6841.095,恒辉68,东营船舶自提,2024-05-15,7590,山东天弘,7400,4,8,4,15
5,10d22e41,2024-05-10,2024-05-20,长九-中化福建高速,92#车用汽油（VIB),7000,0.0,6973.54,龙兴油998,东营船舶自提,2024-05-22,8230,山东天弘,8370,5,8,2,16
5,1908aacf,2024-05-19,2024-06-18,长九-中石化华北,92#车用汽油（VIB),7000,7000.0,7374.138,东城油161,东营船舶自提,2024-06-11,8250,山东天弘,8150,4,8,2,17
5,1908aacf,2024-05-19,2024-06-18,长九-中石化华北,92#车用汽油（VIB),7000,7000.0,7374.138,东城油161,东营船舶自提,2024-06-11,8250,山东天弘,8180,4,8,2,18
5,28cc0618,2024-05-28,2024-06-28,长九-中石化华北,92#车用汽油（VIB),7000,7000.0,6867.207,信航701,东营船舶自提,2024-06-15,8380,中油康泽,8150,4,14,2,19
6,024d3636,2024-06-02,2024-07-06,长九-中石化华南,92#车用汽油（VIB),7000,7000.0,6802.259,信航701,东营船舶自提,2024-07-06,8350,山东天弘,8220,3,8,2,20
6,205ecf16,2024-06-20,2024-07-25,长九-中石化广东,95#车用汽油（VIB),10000,10000.0,9986.911,谊诚19,东营船舶自提,2024-07-16,8620,天津新瑞天,8370,6,15,3,21
6,20127bb2,2024-06-20,2024-07-25,长九-中石化广东,95#车用汽油（VIB),10000,10000.0,9986.911,谊诚19,东营船舶自提,2024-07-16,8620,瑞奥,8350,6,16,3,22
6,20b9a0fe,2024-06-20,2024-07-25,长九-中石化广东,95#车用汽油（VIB),10000,10000.0,9986.911,谊诚19,东营船舶自提,2024-07-16,8620,弘安,8350,6,17,3,23
7,12edd4d6,2024-07-12,2024-07-26,长九-中化石油,92#车用汽油（VIB),7000,7000.0,6982.34,国宏16,东营船舶自提,2024-08-02,8165,山东天弘,8320,1,8,2,24
7,17fa9b6d,2024-07-17,2024-08-23,长九-中石化广东,95#车用汽油（VIB),10000,10000.0,9555.199,和顺17,船舶送到,2024-08-17,8470,长九-中油旭航,8400,6,18,3,25
7,1794abcb,2024-07-17,2024-08-23,长九-中石化广东,95#车用汽油（VIB),10000,10000.0,9555.199,和顺17,船舶送到,2024-08-17,8470,长九-湖南珏岩,8600,6,19,3,26
9,121f899a,2024-09-12,2024-09-30,长九-中化石油,92#车用汽油（VIB),7000,0.0,6768.585,通达化8,东营船舶自提,2024-09-30,8810,长九-山东腾宇,8760,1,20,2,27
9,198a956c,2024-09-19,2024-10-16,长九-中化石油,92#车用汽油（VIB),7000,7000.0,6970.276,信德166,东营船舶自提,2024-10-12,8970,长九-山东腾宇,8910,1,20,2,28
9,256525d8,2024-09-25,2024-11-05,长九-中石化广东,95号车用汽油（VIB),10000,10000.0,9552.626,宏致88,船舶送到,2024-10-28,9045,成品油-东营海科瑞林,9030,6,21,5,29
10,05a3b841,2024-10-05,2024-11-15,长九-中石化广东,95号车用汽油（VIB),10000,10000.0,9994.112,浙能油1,船舶送到,2024-11-01,8865,成品油-东营海科瑞林,8850,6,21,5,30
10,05a3b841,2024-10-05,2024-11-15,长九-中石化广东,92号车用汽油（VIB),7000,7000.0,6973.873,嘉跃先峰,船舶送到,2024-11-11,8765,成品油-东营海科瑞林,8750,6,21,6,31
10,061eeac2,2024-10-06,2024-11-15,长九-中石化广东,95号车用汽油（VIB),7000,7000.0,6893.373,宁洋油9,船舶送到,2024-11-09,8850,成品油-浙江惟德,8570,6,22,5,32
10,114ad5f4,2024-10-11,2024-11-15,成品油-中石化上海,95号车用汽油（VIB),3000,3000.0,2850.003,久鑫油3099,船舶送到,2024-11-07,8750,成品油-正盈力和,8730,7,23,5,33
10,27417585,2024-10-27,2024-11-30,长九-中石化广东,95号车用汽油（VIB),10000,10000.0,9511.068,宏致88,船舶送到,2024-11-16,8280,成品油-东营海科瑞林,8250,6,21,5,34
11,01db4905,2024-11-01,2024-12-05,长九-中石化广东,95号车用汽油（VIB),7000,0.0,6840.31,乘浪66,船舶送到,2024-11-27,8350,成品油-康泽,8120,6,24,5,35
11,0784902f,2024-11-07,2024-12-15,长九-中石化广东,95号车用汽油（VIB),10000,10000.0,9938.93,华福油3,船舶送到,2024-12-08,8380,成品油-东营海科瑞林,8250,6,21,5,36
11,17b991bd,2024-11-17,2024-12-20,长九-中石化广东,95号车用汽油（VIB),7000,0.0,7010.089,宁洋油9,船舶送到,2024-11-27,8230,成品油-东营海科瑞林,8400,6,21,5,37
12,11289bed,2024-12-11,2024-01-25,长九-中石化广东,95号车用汽油（VIB),3000,3000.0,2986.382,晟荣26,船舶送到,2024-01-09,8400,成品油-东营海科瑞林,8380,6,21,5,38
12,131056e7,2024-12-13,2024-01-25,长九-中石化广东,95号车用汽油（VIB),7000,7000.0,2973.663,晟荣26,船舶送到,2024-01-09,8320,成品油-东营海科瑞林,8300,6,21,5,39
12,131056e7,2024-12-13,2024-01-25,长九-中石化广东,95号车用汽油（VIB),7000,0.0,3994.561,新富源10,船舶送到,2024-01-22,8320,成品油-东营海科瑞林,8315,6,21,5,40
12,15c5e3b3,2024-12-15,2024-02-13,长九-中化石油,92号车用汽油（VIB),7000,7000.0,6981.168,国宏16,东营船舶自提,2024-02-16,8100,成品油-山东腾宇,8010,1,25,6,41
